Country,Continent,ManualOmit,Gender,Record,Athlete,Date,Meet,Place,cleantime,ht,time,wind,ratified,speed,pos_at_max_dist
Gibraltar,Europe,,M,11.22 (+1.2 m/s),Jerai Torres,9-May-15,,"Eton, Great Britain",11.22,FALSE,11.22,FALSE,FALSE,8.912655971,85.38324421
Greece,Europe,,M,10.11 (+1.4 m/s),Angelos Pavlakakis,2-Aug-97,World Championships,"Athens, Greece",10.11,FALSE,10.11,FALSE,FALSE,9.891196835,94.75766568
Grenada,North America,,M,10.17 (+1.4 m/s),Sean Lambert,31-May-01,,"Eugene, United States",10.17,FALSE,10.17,FALSE,FALSE,9.832841691,94.1986234
Guam,Oceania,,M,10.66 (+1.8 m/s),Philam Garcia,17-Jun-04,UC San Diego Triton Invitational,"La Jolla, California, United States",10.66,FALSE,10.66,FALSE,FALSE,9.380863039,89.86866792
Guatemala,North America,,M,10.32,Oscar Meneses,20-Jun-98,,"Caracas, Venezuela",10.32,FALSE,10.32,FALSE,FALSE,9.689922481,92.82945736
Guinea,Africa,,M,10.56,Joseph Loua,1-May-97,,"L'Aigle, France",10.56,FALSE,10.56,FALSE,FALSE,9.46969697,90.71969697
Guinea-Bissau,Africa,,M,10.36 (+0.5 m/s),Holder da Silva,8-Jul-09,,"Salamanca, Spain",10.36,FALSE,10.36,FALSE,FALSE,9.652509653,92.47104247
Guinea-Bissau,Africa,,M,10.36 (+1.7 m/s),Holder da Silva,12-Jul-09,Lusophony Games,"Lisbon, Portugal",10.36,FALSE,10.36,FALSE,FALSE,9.652509653,92.47104247
Guinea-Bissau,Africa,,M,10.36 (0.0 m/s),Ancuiam Lopes,12-Jun-13,Trofeo Caja Duero,"Salamanca, Spain",10.36,FALSE,10.36,FALSE,FALSE,9.652509653,92.47104247
Guyana,South America,,M,10.12 (+0.4 m/s),Adam Harris,17-May-14,Hamptons International Games,"Port of Spain, Trinidad and Tobago",10.12,FALSE,10.12,FALSE,FALSE,9.881422925,94.66403162
Haiti,North America,,M,10.16 (+1.5 m/s),Darrell Wesh,17-May-15,Aggie Last Chance Meet,"Greensboro, United States",10.16,FALSE,10.16,FALSE,FALSE,9.842519685,94.29133858
